2025-10-27 18:34:07 | ai_assistant | INFO     | main.py:82 | main() | 🚀 AI 语音助手正在启动...
2025-10-27 18:34:07 | ai_assistant | INFO     | main.py:88 | main() | 🌐 API 服务已启动: http://127.0.0.1:5001/api
2025-10-27 18:34:07 | ai_assistant | INFO     | main.py:94 | main() | 👂 助手已就绪，请开始说话...
2025-10-27 18:34:07 | ai_assistant | INFO     | logger_utils.py:15 | wrapper() | 🔄 开始执行: 处理一次交互
2025-10-27 18:34:07 | ai_assistant | INFO     | __init__.py:40 | initialize_all() | 🚀 启动 AI 助手...
2025-10-27 18:34:09 | ai_assistant | INFO     | logger_utils.py:15 | wrapper() | 🔄 开始执行: 初始化音乐播放器
2025-10-27 18:34:09 | ai_assistant | INFO     | system_controller.py:76 | _init_music_player() | ✅ 音乐播放器初始化成功
2025-10-27 18:34:09 | ai_assistant | INFO     | system_controller.py:478 | __init__() | 🔧 任务编排器已加载 16 个可调用函数
2025-10-27 18:34:09 | ai_assistant | INFO     | system_controller.py:525 | _start_scheduled_task_loop() | ⏰ 已启动定时任务监听循环
2025-10-27 18:34:10 | ai_assistant | INFO     | voice_recognizer.py:77 | _load_model() | ✅ Vosk 模型加载成功
2025-10-27 18:34:10 | ai_assistant | INFO     | voice_recognizer.py:48 | __init__() | ✅ 语音识别器初始化完成
2025-10-27 18:34:17 | ai_assistant | INFO     | qwen_assistant.py:54 | __init__() | ✅ QWENAssistant 单例初始化完成，使用模型: qwen-plus
2025-10-27 18:34:17 | tts_engine | INFO     | text_to_speech.py:21 | start() | 🎧 TTS 引擎已启动
2025-10-27 18:34:17 | ai_assistant | INFO     | __init__.py:67 | initialize_all() | 🎉 所有模块初始化完成！
2025-10-27 18:34:17 | ai_assistant | INFO     | voice_recognizer.py:112 | listen_and_recognize() | 🎙️ 请说话...
2025-10-27 18:34:23 | ai_assistant | INFO     | main.py:57 | handle_single_interaction() | 🗣️ 用户说: '你好'
2025-10-27 18:34:23 | ai_assistant | INFO     | logger_utils.py:15 | wrapper() | 🔄 开始执行: 处理语音指令
2025-10-27 18:34:24 | ai_assistant | INFO     | qwen_assistant.py:205 | _validate_plan_structure() | 检测到闲聊意图 'chat'，启用宽松模式
2025-10-27 18:34:24 | ai_assistant | INFO     | logger_utils.py:15 | wrapper() | 🔄 开始执行: 执行多任务计划
2025-10-27 18:34:24 | tts_engine | INFO     | text_to_speech.py:40 | speak() | 📢 推送 TTS 文本: 你好！有什么我可以帮你的吗？
2025-10-27 18:34:24 | tts_engine | INFO     | text_to_speech.py:66 | _playback_worker() | 🔊 开始播放 TTS: 你好！有什么我可以帮你的吗？
2025-10-27 18:34:28 | tts_engine | INFO     | text_to_speech.py:68 | _playback_worker() | ✅ TTS 播放完成
2025-10-27 18:34:28 | ai_assistant | INFO     | logger_utils.py:15 | wrapper() | 🔄 开始执行: 处理一次交互
2025-10-27 18:34:28 | ai_assistant | INFO     | voice_recognizer.py:112 | listen_and_recognize() | 🎙️ 请说话...
2025-10-27 18:35:24 | ai_assistant | INFO     | main.py:82 | main() | 🚀 AI 语音助手正在启动...
2025-10-27 18:35:24 | ai_assistant | INFO     | main.py:88 | main() | 🌐 API 服务已启动: http://127.0.0.1:5001/api
2025-10-27 18:35:24 | ai_assistant | INFO     | main.py:94 | main() | 👂 助手已就绪，请开始说话...
2025-10-27 18:35:24 | ai_assistant | INFO     | logger_utils.py:15 | wrapper() | 🔄 开始执行: 处理一次交互
2025-10-27 18:35:24 | ai_assistant | INFO     | __init__.py:40 | initialize_all() | 🚀 启动 AI 助手...
2025-10-27 18:35:26 | ai_assistant | INFO     | logger_utils.py:15 | wrapper() | 🔄 开始执行: 初始化音乐播放器
2025-10-27 18:35:26 | ai_assistant | INFO     | system_controller.py:76 | _init_music_player() | ✅ 音乐播放器初始化成功
2025-10-27 18:35:26 | ai_assistant | INFO     | system_controller.py:478 | __init__() | 🔧 任务编排器已加载 16 个可调用函数
2025-10-27 18:35:26 | ai_assistant | INFO     | system_controller.py:525 | _start_scheduled_task_loop() | ⏰ 已启动定时任务监听循环
2025-10-27 18:35:27 | ai_assistant | INFO     | voice_recognizer.py:77 | _load_model() | ✅ Vosk 模型加载成功
2025-10-27 18:35:27 | ai_assistant | INFO     | voice_recognizer.py:48 | __init__() | ✅ 语音识别器初始化完成
2025-10-27 18:35:35 | ai_assistant | INFO     | qwen_assistant.py:54 | __init__() | ✅ QWENAssistant 单例初始化完成，使用模型: qwen-plus
2025-10-27 18:35:35 | tts_engine | INFO     | text_to_speech.py:21 | start() | 🎧 TTS 引擎已启动
2025-10-27 18:35:35 | ai_assistant | INFO     | __init__.py:67 | initialize_all() | 🎉 所有模块初始化完成！
2025-10-27 18:35:35 | ai_assistant | INFO     | voice_recognizer.py:112 | listen_and_recognize() | 🎙️ 请说话...
