2025-10-23 07:49:33 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 启动 AI 语音助手
2025-10-23 07:49:33 | ai_assistant | INFO     | main.py:127 | main() | 🚀 正在启动 AI 语音助手系统...
2025-10-23 07:49:33 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化语音识别模块
2025-10-23 07:49:33 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 加载 Vosk 离线模型
2025-10-23 07:49:33 | ai_assistant | INFO     | voice_recognizer.py:54 | _load_model() | 📦 正在加载模型: ./vosk-model-small-cn-0.22
2025-10-23 07:49:33 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化音频系统
2025-10-23 07:49:34 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化 AI 助手模块
2025-10-23 07:49:34 | ai_assistant | INFO     | qwen_assistant.py:28 | __init__() | ✅ QWENAssistant 初始化完成，使用模型: qwen-plus
2025-10-23 07:49:34 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化文本转语音模块
2025-10-23 07:49:34 | ai_assistant | INFO     | text_to_speech.py:38 | _initialize_engine() | ✅ TTS 引擎初始化成功
2025-10-23 07:49:34 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化动作执行器
2025-10-23 07:49:34 | ai_assistant | INFO     | text_to_speech.py:38 | _initialize_engine() | ✅ TTS 引擎初始化成功
2025-10-23 07:49:34 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化音乐播放器
2025-10-23 07:49:34 | ai_assistant | INFO     | system_controller.py:73 | _init_music_player() | ✅ 音乐播放器初始化成功
2025-10-23 07:49:34 | ai_assistant | INFO     | system_controller.py:435 | __init__() | 🔧 任务编排器已加载 12 个可调用函数
2025-10-23 07:49:34 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 07:49:34 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 07:49:34 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 07:49:39 | ai_assistant | INFO     | voice_recognizer.py:153 | listen_and_recognize() | 🎯 识别结果: '播放 音乐'
2025-10-23 07:49:39 | ai_assistant | INFO     | main.py:104 | handle_single_interaction() | 🗣️ 用户说: '播放 音乐'
2025-10-23 07:49:39 | ai_assistant | INFO     | qwen_assistant.py:28 | __init__() | ✅ QWENAssistant 初始化完成，使用模型: qwen-plus
2025-10-23 07:49:39 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理语音指令
2025-10-23 07:49:43 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行多任务计划
2025-10-23 07:49:43 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 播放音乐
2025-10-23 07:49:43 | ai_assistant | WARNING  | system_controller.py:91 | play_music() | 📁 路径不存在: 音乐
2025-10-23 07:49:43 | ai_assistant | WARNING  | main.py:118 | handle_single_interaction() | ❌ 执行失败: 正在尝试播放音乐，请确保路径正确且文件存在。 📁 路径不存在: 音乐
2025-10-23 07:49:43 | ai_assistant | INFO     | main.py:121 | handle_single_interaction() | 🤖 回复: 抱歉，正在尝试播放音乐，请确保路径正确且文件存在。 📁 路径不存在: 音乐
2025-10-23 07:49:43 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 07:49:43 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 07:49:43 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 07:49:48 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 07:49:48 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 07:49:48 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 07:49:49 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 07:49:49 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 07:49:49 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:12:37 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 启动 AI 语音助手
2025-10-23 08:12:37 | ai_assistant | INFO     | main.py:127 | main() | 🚀 正在启动 AI 语音助手系统...
2025-10-23 08:12:37 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化语音识别模块
2025-10-23 08:12:37 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 加载 Vosk 离线模型
2025-10-23 08:12:37 | ai_assistant | INFO     | voice_recognizer.py:54 | _load_model() | 📦 正在加载模型: ./vosk-model-small-cn-0.22
2025-10-23 08:12:38 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化音频系统
2025-10-23 08:12:38 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化 AI 助手模块
2025-10-23 08:12:38 | ai_assistant | INFO     | qwen_assistant.py:28 | __init__() | ✅ QWENAssistant 初始化完成，使用模型: qwen-plus
2025-10-23 08:12:38 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化文本转语音模块
2025-10-23 08:12:38 | ai_assistant | INFO     | text_to_speech.py:38 | _initialize_engine() | ✅ TTS 引擎初始化成功
2025-10-23 08:12:38 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化动作执行器
2025-10-23 08:12:38 | ai_assistant | INFO     | text_to_speech.py:38 | _initialize_engine() | ✅ TTS 引擎初始化成功
2025-10-23 08:12:38 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 初始化音乐播放器
